gene	RVIS
PRKCG	-0.71
KIF4A	-0.75
ATRX	-0.93
NOVA1	-0.69
NPAS4	-0.66
CAMK2B	-0.62
ACTN1	-1.33
RXRG	-0.85
P2RY6	-0.89
DNAJA3	-0.64
MGA	-0.61
ANKRD28	-0.8
KBTBD7	-0.93
ZNF205	-0.71
EYA1	-0.84
SP4	-0.84
PLCB1	-0.84
ZFYVE28	-0.54
ADAMTS2	-1.8
TNR	-0.54
ATP6V0A1	-0.69
CASK	-0.71
MED15	-1.46
HSPA12A	-0.66
FBXO21	-0.78
ARHGAP33	-1.46
UGGT1	-1.16
TSPYL2	-0.71
CALR	-0.62
ASXL3	-0.67
ALG12	-0.64
F2	-0.71
PRPF40B	-1.46
GMEB2	-0.73
RBCK1	-0.91
BTBD2	-0.62
MLLT1	-0.62
SNRK	-0.64
MYLK3	-1.26
SLCO3A1	-0.58
UBE2O	-0.81
USP5	-1.68
SEMA5A	-2.89
DEPDC5	-1.12
CBX2	-0.66
KCND2	-0.65
CELF5	-0.71
MAPK8IP1	-0.62
VCAN	-0.55
TBX21	-0.74
ELL	-0.6
MAP3K8	-0.89
RNF139	-0.71
CDKL5	-0.67
PRKG2	-0.84
CAP1	-0.78
ELAVL3	-0.78
MID1	-0.78
CACNA1F	-0.83
PIAS3	-0.66
TRIM11	-0.76
EIF4A3	-0.63
PLCL2	-0.62
TRIM2	-1.11
TTC17	-1.61
FAT4	-0.5
LRRC8D	-0.78
PPP1R10	-0.78
TM9SF2	-0.8
CHD9	-2.18
CACNA1G	-2.37
CASKIN2	-0.52
ZFYVE1	-1.2
SLC1A6	-0.8
ROCK1	-0.57
PRKAG2	-0.87
FKBP8	-0.58
TCF25	-1.08
SMARCA2	-1.97
WHSC1L1	-0.55
ETV6	-0.62
FBXL5	-0.96
SMURF2	-0.69
ZNF687	-0.81
OSBPL2	-0.6
ADAMTS6	-0.57
SLC6A17	-0.57
NCOA6	-2.02
APLP2	-0.71
NOL4	-0.67
TBC1D9	-0.93
PPFIA3	-1.06
NCLN	-0.6
INTS3	-1.29
TLE4	-0.56
MAT1A	-0.78
PANK4	-0.97
IGF2R	-1.93
FGFR3	-2.05
TAOK1	-0.62
PLCG2	-0.6
CHRNB2	-0.69
LYN	-0.69
ARHGAP5	-0.55
EHD3	-1.13
TMEM132D	-0.5
ATP2A3	-1.47
SOX9	-0.71
PTPN6	-0.62
PRKCB	-0.8
ATXN1	-0.52
COL2A1	-1.8
SART3	-1.04
SEMA4C	-0.78
ZC3H14	-0.64
ANAPC4	-0.8
SLC13A5	-1.4
CLIP3	-0.74
PRRC2B	-0.48
PDE8B	-0.69
SSBP3	-0.65
PC	-1.74
GPC2	-0.87
ZNF512	-0.87
TEX10	-0.71
SNX33	-0.67
KLHL29	-0.54
SLC4A3	-1.18
ARID4A	-1.19
CRIM1	-1.1
SLC7A10	-0.57
MEX3B	-0.76
TRIM33	-0.64
EPAS1	-0.88
RNF19B	-0.78
FAM160B1	-0.75
ZZZ3	-0.75
DENND5A	-1.37
AGAP3	-1.0
WDFY1	-0.85
FGD3	-1.08
SLITRK2	-0.78
CHD4	-1.64
LINGO2	-0.75
LEO1	-1.11
RXRA	-0.69
TUBGCP6	-2.6
SEC31A	-0.99
SMEK1	-0.65
STT3A	-0.65
KCNN3	-0.56
NFKBIZ	-0.62
DYRK2	-0.58
MGAT3	-0.58
SLC22A4	-0.71
ZNF416	-0.67
ELMO1	-0.53
OSBPL11	-0.8
RNFT2	-0.8
ATP11A	-1.61
AFF4	-0.55
SKIV2L2	-1.15
HIP1	-0.99
THOC2	-0.58
IGSF21	-0.6
SND1	-1.06
CDH1	-1.06
USP11	-1.04
THBS2	-0.47
CYFIP1	-1.3
CPS1	-0.63
TECPR2	-0.47
STT3B	-0.76
TPR	-0.47
TBC1D14	-0.82
LZTS2	-1.2
WASL	-0.69
GRM5	-1.26
